,id,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price
7069,7069,Argentina,Capital Federal,Palermo,1.0,,1.0,26.0,26.0,84000
7070,7070,Argentina,Capital Federal,Boca,4.0,3.0,1.0,88.0,78.0,130000
7071,7071,Argentina,Capital Federal,Villa del Parque,3.0,2.0,1.0,67.0,59.0,142000
7072,7072,Argentina,Capital Federal,Parque Patricios,3.0,2.0,1.0,55.0,48.0,124000
7073,7073,Argentina,Capital Federal,Villa Urquiza,3.0,2.0,1.0,47.0,47.0,96000
7074,7074,Argentina,Capital Federal,Villa Urquiza,3.0,2.0,2.0,70.0,62.0,229000
7075,7075,Argentina,Capital Federal,Villa Urquiza,3.0,,1.0,77.0,59.0,195000
7076,7076,Argentina,Capital Federal,Villa Urquiza,3.0,2.0,1.0,68.0,68.0,180000
7077,7077,Argentina,Capital Federal,Villa Urquiza,3.0,2.0,1.0,67.0,57.0,198000
7078,7078,Argentina,Capital Federal,Villa Urquiza,3.0,2.0,2.0,80.0,62.0,335000
7079,7079,Argentina,Capital Federal,Villa Urquiza,3.0,2.0,1.0,73.0,53.0,185000
7080,7080,Argentina,Capital Federal,Puerto Madero,3.0,2.0,2.0,126.0,108.0,700000
7081,7081,Argentina,Capital Federal,Puerto Madero,3.0,2.0,2.0,220.0,111.0,690000
7082,7082,Argentina,Capital Federal,Constitución,3.0,2.0,1.0,64.0,60.0,118000
7083,7083,Argentina,Capital Federal,Villa Devoto,3.0,2.0,1.0,58.0,55.0,155000
7084,7084,Argentina,Capital Federal,Villa Crespo,3.0,2.0,1.0,65.0,55.0,160000
7085,7085,Argentina,Capital Federal,Palermo,4.0,3.0,2.0,78.0,78.0,199000
7086,7086,Argentina,Capital Federal,Almagro,3.0,2.0,1.0,64.0,54.0,134500
7087,7087,Argentina,Capital Federal,Nuñez,4.0,3.0,1.0,75.0,,220000
7088,7088,Argentina,Capital Federal,Nuñez,3.0,2.0,1.0,54.0,54.0,140000
7089,7089,Argentina,Capital Federal,Barrio Norte,1.0,1.0,1.0,36.0,36.0,85000
7090,7090,Argentina,Capital Federal,Barrio Norte,1.0,1.0,1.0,45.0,40.0,235000
7091,7091,Argentina,Capital Federal,San Nicolás,1.0,1.0,1.0,43.0,43.0,124000
7092,7092,Argentina,Capital Federal,Villa Crespo,1.0,1.0,1.0,42.0,42.0,107322
7093,7093,Argentina,Capital Federal,Villa Crespo,1.0,,1.0,42.0,42.0,120000
7094,7094,Argentina,Capital Federal,Villa Crespo,1.0,1.0,1.0,80.0,80.0,152096
7095,7095,Argentina,Capital Federal,Villa Crespo,1.0,1.0,1.0,42.0,42.0,73940
7096,7096,Argentina,Capital Federal,Villa Urquiza,1.0,,1.0,37.0,32.0,100000
7097,7097,Argentina,Capital Federal,Villa Urquiza,1.0,,1.0,39.0,34.0,94000
7098,7098,Argentina,Capital Federal,Boca,2.0,1.0,1.0,46.0,30.0,48000
7099,7099,Argentina,Capital Federal,Boedo,2.0,1.0,1.0,45.0,45.0,115000
7100,7100,Argentina,Capital Federal,Boedo,2.0,1.0,1.0,24.0,,50000
7101,7101,Argentina,Capital Federal,Colegiales,1.0,,1.0,35.0,35.0,98000
7102,7102,Argentina,Capital Federal,Boedo,2.0,1.0,1.0,24.0,24.0,52000
7103,7103,Argentina,Capital Federal,Flores,2.0,1.0,1.0,47.0,47.0,49900
7104,7104,Argentina,Capital Federal,Flores,2.0,,1.0,48.0,44.0,113000
7105,7105,Argentina,Capital Federal,Nuñez,2.0,,1.0,60.0,60.0,223000
7106,7106,Argentina,Capital Federal,Nuñez,2.0,1.0,1.0,39.0,36.0,99000
7107,7107,Argentina,Capital Federal,Nuñez,2.0,1.0,1.0,42.0,38.0,145000
7108,7108,Argentina,Capital Federal,Coghlan,2.0,1.0,1.0,44.0,38.0,130000
7109,7109,Argentina,Capital Federal,Coghlan,2.0,1.0,1.0,50.0,39.0,92000
7110,7110,Argentina,Capital Federal,Coghlan,2.0,1.0,1.0,48.0,48.0,150000
7111,7111,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,,30.0,80000
7112,7112,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,42.0,40.0,160000
7113,7113,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,50.0,50.0,210000
7114,7114,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,54.0,54.0,200000
7115,7115,Argentina,Capital Federal,Boedo,2.0,1.0,1.0,35.0,35.0,70000
7116,7116,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,52.0,52.0,180000
7117,7117,Argentina,Capital Federal,Agronomía,1.0,1.0,1.0,37.0,34.0,59000
7118,7118,Argentina,Capital Federal,Recoleta,1.0,,1.0,,30.0,107000
7119,7119,Argentina,Capital Federal,Nuñez,,,,,,175000
7120,7120,Argentina,Capital Federal,Palermo,,1.0,1.0,30.0,30.0,125000
7121,7121,Argentina,Capital Federal,Caballito,,,,,34.0,115000
7122,7122,Argentina,Capital Federal,Chacarita,,2.0,1.0,70.0,68.0,240000
7123,7123,Argentina,Capital Federal,Colegiales,,,,,,220000
7124,7124,Argentina,Capital Federal,Villa Devoto,,,,,,150000
7125,7125,Argentina,Capital Federal,Puerto Madero,,,,,,330000
7126,7126,Argentina,Capital Federal,Boca,1.0,1.0,1.0,34.0,31.0,48000
7127,7127,Argentina,Capital Federal,Boca,1.0,1.0,1.0,34.0,31.0,50000
7128,7128,Argentina,Capital Federal,Boedo,1.0,,1.0,19.0,19.0,50000
7129,7129,Argentina,Capital Federal,Flores,1.0,,1.0,41.0,,85000
7130,7130,Argentina,Capital Federal,Nuñez,1.0,,1.0,42.0,38.0,185000
7131,7131,Argentina,Capital Federal,Saavedra,1.0,1.0,1.0,56.0,56.0,125000
7132,7132,Argentina,Capital Federal,Almagro,1.0,,1.0,30.0,30.0,78000
7133,7133,Argentina,Capital Federal,Palermo,1.0,1.0,1.0,53.0,53.0,150000
7134,7134,Argentina,Capital Federal,Palermo,1.0,,1.0,35.0,31.0,110001
7135,7135,Argentina,Capital Federal,Palermo,1.0,,1.0,38.0,38.0,180000
7136,7136,Argentina,Capital Federal,Palermo,1.0,,1.0,43.0,37.0,139000
7137,7137,Argentina,Capital Federal,Palermo,1.0,,1.0,30.0,28.0,99000
7138,7138,Argentina,Capital Federal,Palermo,1.0,1.0,1.0,51.0,51.0,145000
7139,7139,Argentina,Capital Federal,Palermo,1.0,,1.0,38.0,33.0,89000
7140,7140,Argentina,Capital Federal,Palermo,1.0,1.0,1.0,42.0,42.0,135000
7141,7141,Argentina,Capital Federal,Belgrano,1.0,,1.0,35.0,32.0,110000
7142,7142,Argentina,Capital Federal,Belgrano,1.0,1.0,1.0,29.0,26.0,90000
7143,7143,Argentina,Capital Federal,Belgrano,1.0,,1.0,37.0,34.0,100000
7144,7144,Argentina,Capital Federal,Recoleta,1.0,1.0,1.0,42.0,42.0,174000
7145,7145,Argentina,Capital Federal,Palermo,1.0,1.0,1.0,38.0,38.0,105000
7146,7146,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,89.0,73.0,380000
7147,7147,Argentina,Capital Federal,Nuñez,3.0,2.0,1.0,65.0,65.0,215000
7148,7148,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,36.0,36.0,92000
7149,7149,Argentina,Capital Federal,Caballito,2.0,1.0,1.0,47.0,43.0,99000
7150,7150,Argentina,Capital Federal,Mataderos,2.0,1.0,1.0,40.0,,87000
7151,7151,Argentina,Capital Federal,Villa Luro,2.0,1.0,1.0,50.0,46.0,120000
7152,7152,Argentina,Capital Federal,Barrio Norte,2.0,1.0,1.0,27.0,27.0,115000
7153,7153,Argentina,Capital Federal,Barrio Norte,2.0,1.0,1.0,46.0,44.0,116000
7154,7154,Argentina,Capital Federal,San Nicolás,2.0,1.0,1.0,,24.0,58000
7155,7155,Argentina,Capital Federal,San Nicolás,2.0,1.0,1.0,37.0,37.0,80000
7156,7156,Argentina,Capital Federal,Villa Crespo,2.0,1.0,1.0,,45.0,105000
7157,7157,Argentina,Capital Federal,Villa Crespo,2.0,1.0,1.0,51.0,51.0,120256
7158,7158,Argentina,Capital Federal,Nuñez,3.0,2.0,2.0,90.0,90.0,350000
7159,7159,Argentina,Capital Federal,Flores,3.0,2.0,1.0,55.0,55.0,100000
7160,7160,Argentina,Capital Federal,Boca,3.0,2.0,1.0,58.0,56.0,90000
7161,7161,Argentina,Capital Federal,Caballito,2.0,1.0,1.0,42.0,40.0,100000
7162,7162,Argentina,Capital Federal,Boca,3.0,2.0,1.0,54.0,51.0,88000
7163,7163,Argentina,Capital Federal,Parque Chacabuco,2.0,1.0,1.0,,55.0,140000
7164,7164,Argentina,Capital Federal,Villa Urquiza,2.0,1.0,1.0,50.0,40.0,142000
7165,7165,Argentina,Capital Federal,Villa Urquiza,2.0,1.0,1.0,33.0,33.0,82000
7166,7166,Argentina,Capital Federal,Villa Urquiza,2.0,1.0,1.0,50.0,39.0,92000
7167,7167,Argentina,Capital Federal,Villa Urquiza,2.0,1.0,1.0,55.0,55.0,140000
7168,7168,Argentina,Capital Federal,Villa Urquiza,2.0,1.0,1.0,56.0,48.0,145000
7169,7169,Argentina,Capital Federal,Puerto Madero,2.0,1.0,1.0,55.0,55.0,220000
7170,7170,Argentina,Capital Federal,Villa Lugano,2.0,1.0,1.0,,,135000
7171,7171,Argentina,Capital Federal,Villa Devoto,2.0,1.0,1.0,59.0,47.0,150894
7172,7172,Argentina,Capital Federal,Villa Devoto,2.0,1.0,1.0,55.0,47.0,171232
7173,7173,Argentina,Capital Federal,Villa Crespo,2.0,1.0,2.0,55.0,,130000
7174,7174,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,40.0,40.0,115000
7175,7175,Argentina,Capital Federal,Villa Pueyrredón,2.0,2.0,1.0,76.0,44.0,190000
7176,7176,Argentina,Capital Federal,Caballito,2.0,1.0,1.0,44.0,44.0,98000
7177,7177,Argentina,Capital Federal,Flores,3.0,2.0,1.0,70.0,70.0,130000
7178,7178,Argentina,Capital Federal,Caballito,2.0,1.0,1.0,35.0,32.0,90000
7179,7179,Argentina,Capital Federal,Palermo,2.0,1.0,2.0,,51.0,178000
7180,7180,Argentina,Capital Federal,Caballito,2.0,1.0,1.0,40.0,,93000
7181,7181,Argentina,Capital Federal,Palermo,2.0,2.0,1.0,40.0,40.0,83000
7182,7182,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,70.0,70.0,205000
7183,7183,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,60.0,60.0,225000
7184,7184,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,59.0,59.0,180000
7185,7185,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,44.0,44.0,110000
7186,7186,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,58.0,47.0,190000
7187,7187,Argentina,Capital Federal,Pompeya,2.0,1.0,1.0,66.0,43.0,90000
7188,7188,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,54.0,47.0,175000
7189,7189,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,62.0,62.0,186000
7190,7190,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,45.0,45.0,135000
7191,7191,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,62.0,62.0,186000
7192,7192,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,48.0,48.0,240000
7193,7193,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,57.0,49.0,233000
7194,7194,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,71.0,71.0,213000
7195,7195,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,45.0,45.0,135000
7196,7196,Argentina,Capital Federal,Caballito,2.0,1.0,1.0,36.0,36.0,75000
7197,7197,Argentina,Capital Federal,Caballito,2.0,1.0,1.0,50.0,50.0,110000
7198,7198,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,42.0,42.0,125000
7199,7199,Argentina,Capital Federal,Saavedra,2.0,1.0,1.0,40.0,,117000
7200,7200,Argentina,Capital Federal,Recoleta,2.0,1.0,1.0,45.0,43.0,180000
7201,7201,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,56.0,56.0,170000
7202,7202,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,77.0,77.0,207900
7203,7203,Argentina,Capital Federal,Saavedra,2.0,1.0,1.0,50.0,39.0,92000
7204,7204,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,55.0,55.0,170000
7205,7205,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,62.0,62.0,180000
7206,7206,Argentina,Capital Federal,Chacarita,3.0,2.0,1.0,75.0,55.0,165000
7207,7207,Argentina,Capital Federal,Balvanera,3.0,2.0,1.0,60.0,60.0,105000
7208,7208,Argentina,Capital Federal,Recoleta,3.0,2.0,1.0,61.0,61.0,155000
7209,7209,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,100.0,60.0,225000
7210,7210,Argentina,Capital Federal,Belgrano,3.0,2.0,1.0,72.0,64.0,250000
7211,7211,Argentina,Capital Federal,Belgrano,3.0,2.0,1.0,80.0,75.0,220000
7212,7212,Argentina,Capital Federal,Belgrano,3.0,,1.0,92.0,60.0,208000
7213,7213,Argentina,Capital Federal,Palermo,3.0,2.0,2.0,70.0,67.0,340000
7214,7214,Argentina,Capital Federal,Palermo,3.0,2.0,2.0,70.0,67.0,340000
7215,7215,Argentina,Capital Federal,Nuñez,3.0,2.0,2.0,98.0,80.0,360000
7216,7216,Argentina,Capital Federal,Nuñez,3.0,2.0,1.0,63.0,53.0,155000
7217,7217,Argentina,Capital Federal,Monserrat,3.0,2.0,1.0,120.0,60.0,125000
7218,7218,Argentina,Capital Federal,Nuñez,3.0,2.0,2.0,69.0,69.0,258000
7219,7219,Argentina,Capital Federal,Palermo,3.0,2.0,2.0,80.0,75.0,355000
7220,7220,Argentina,Capital Federal,San Telmo,3.0,2.0,1.0,111.0,111.0,190000
7221,7221,Argentina,Capital Federal,Palermo,4.0,3.0,2.0,182.0,165.0,540000
7222,7222,Argentina,Capital Federal,Villa Urquiza,3.0,2.0,1.0,61.0,,198000
7223,7223,Argentina,Capital Federal,Boca,4.0,3.0,1.0,,,99000
7224,7224,Argentina,Capital Federal,Nuñez,4.0,3.0,1.0,78.0,75.0,168000
7225,7225,Argentina,Capital Federal,Almagro,4.0,3.0,2.0,120.0,107.0,280000
7226,7226,Argentina,Capital Federal,Coghlan,4.0,3.0,2.0,82.0,74.0,245000
7227,7227,Argentina,Capital Federal,Boca,3.0,2.0,1.0,70.0,70.0,85000
7228,7228,Argentina,Capital Federal,Belgrano,4.0,3.0,1.0,148.0,124.0,320000
7229,7229,Argentina,Capital Federal,Villa Crespo,3.0,2.0,2.0,65.0,55.0,135000
7230,7230,Argentina,Capital Federal,Belgrano,4.0,3.0,2.0,108.0,96.0,397800
7231,7231,Argentina,Capital Federal,Belgrano,4.0,3.0,2.0,220.0,,1050000
7232,7232,Argentina,Capital Federal,Belgrano,4.0,3.0,2.0,,100.0,345000
7233,7233,Argentina,Capital Federal,Recoleta,4.0,3.0,1.0,133.0,129.0,465000
7234,7234,Argentina,Capital Federal,Recoleta,4.0,2.0,2.0,245.0,221.0,730000
7235,7235,Argentina,Capital Federal,Caballito,4.0,3.0,1.0,85.0,75.0,190000
7236,7236,Argentina,Capital Federal,Villa Urquiza,3.0,2.0,2.0,71.0,64.0,230000
7237,7237,Argentina,Capital Federal,Belgrano,4.0,3.0,3.0,112.0,100.0,345000
7238,7238,Argentina,Capital Federal,,3.0,2.0,,82.0,82.0,120000
7239,7239,Argentina,Capital Federal,Parque Chacabuco,3.0,2.0,1.0,55.0,,119000
7240,7240,Argentina,Capital Federal,San Nicolás,2.0,1.0,1.0,47.0,39.0,110000
7241,7241,Argentina,Capital Federal,Colegiales,4.0,3.0,1.0,94.0,84.0,240000
7242,7242,Argentina,Capital Federal,Barrio Norte,4.0,2.0,2.0,,115.0,390000
7243,7243,Argentina,Capital Federal,Puerto Madero,4.0,3.0,3.0,230.0,230.0,1490000
7244,7244,Argentina,Capital Federal,San Cristobal,4.0,3.0,1.0,,140.0,120000
7245,7245,Argentina,Capital Federal,Villa del Parque,3.0,2.0,1.0,110.0,67.0,162000
7246,7246,Argentina,Capital Federal,Recoleta,,,,,,1700000
7247,7247,Argentina,Capital Federal,Villa Luro,,,,,,175000
7248,7248,Argentina,Capital Federal,Flores,1.0,,1.0,22.0,22.0,45000
7249,7249,Argentina,Capital Federal,Nuñez,1.0,,1.0,,34.0,110000
7250,7250,Argentina,Capital Federal,Palermo,1.0,,1.0,24.0,24.0,72000
7251,7251,Argentina,Capital Federal,Caballito,1.0,,1.0,34.0,31.0,90000
7252,7252,Argentina,Capital Federal,Villa Urquiza,2.0,1.0,1.0,,,120000
7253,7253,Argentina,Capital Federal,Villa Urquiza,1.0,1.0,1.0,39.0,35.0,103000
7254,7254,Argentina,Capital Federal,Nuñez,2.0,1.0,1.0,40.0,40.0,130000
7255,7255,Argentina,Capital Federal,Villa Crespo,1.0,1.0,1.0,31.0,31.0,68000
7256,7256,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,48.0,48.0,210000
7257,7257,Argentina,Capital Federal,San Nicolás,2.0,1.0,1.0,41.0,33.0,95000
7258,7258,Argentina,Capital Federal,Barrio Norte,2.0,1.0,1.0,45.0,45.0,118000
7259,7259,Argentina,Capital Federal,Caballito,2.0,1.0,1.0,42.0,40.0,129900
7260,7260,Argentina,Capital Federal,Caballito,2.0,1.0,1.0,42.0,40.0,129900
7261,7261,Argentina,Capital Federal,Almagro,2.0,1.0,1.0,45.0,42.0,132000
7262,7262,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,42.0,40.0,110000
7263,7263,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,46.0,42.0,168000
7264,7264,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,60.0,55.0,380000
7265,7265,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,77.0,40.0,145000
7266,7266,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,48.0,45.0,208000
7267,7267,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,69.0,69.0,280000
7268,7268,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,51.0,47.0,265000
7269,7269,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,30.0,30.0,125000
7270,7270,Argentina,Capital Federal,Villa Urquiza,4.0,3.0,2.0,91.0,80.0,390000
7271,7271,Argentina,Capital Federal,Barrio Norte,5.0,3.0,2.0,169.0,156.0,415000
7272,7272,Argentina,Capital Federal,Puerto Madero,6.0,4.0,4.0,236.0,218.0,685000
7273,7273,Argentina,Capital Federal,Palermo,,3.0,3.0,164.0,156.0,1100000
7274,7274,Argentina,Capital Federal,Parque Chacabuco,4.0,3.0,2.0,135.0,79.0,149900
7275,7275,Argentina,Capital Federal,Villa Urquiza,3.0,2.0,1.0,75.0,59.0,218200
7276,7276,Argentina,Capital Federal,Villa Devoto,4.0,3.0,2.0,87.0,74.0,186800
7277,7277,Argentina,Capital Federal,Villa Devoto,2.0,1.0,1.0,43.0,38.0,95000
7278,7278,Argentina,Capital Federal,Villa Devoto,2.0,1.0,1.0,26.0,23.0,49000
7279,7279,Argentina,Capital Federal,Villa Devoto,2.0,1.0,1.0,43.0,38.0,88900
7280,7280,Argentina,Capital Federal,Villa Crespo,2.0,1.0,1.0,143.0,43.0,159000
7281,7281,Argentina,Capital Federal,Villa Real,2.0,1.0,1.0,41.0,38.0,87000
7282,7282,Argentina,Capital Federal,Villa Luro,2.0,1.0,1.0,51.0,47.0,89000
7283,7283,Argentina,Capital Federal,Villa Luro,2.0,1.0,1.0,51.0,47.0,100000
7284,7284,Argentina,Capital Federal,Recoleta,2.0,1.0,2.0,48.0,48.0,155000
7285,7285,Argentina,Capital Federal,Recoleta,2.0,2.0,1.0,55.0,55.0,170000
7286,7286,Argentina,Capital Federal,Recoleta,2.0,1.0,2.0,50.0,42.0,160000
7287,7287,Argentina,Capital Federal,Recoleta,2.0,1.0,2.0,42.0,42.0,160000
7288,7288,Argentina,Capital Federal,Paternal,2.0,1.0,2.0,50.0,46.0,115000
7289,7289,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,45.0,45.0,127000
7290,7290,Argentina,Capital Federal,Almagro,2.0,1.0,1.0,35.0,35.0,35000
7291,7291,Argentina,Capital Federal,Villa Devoto,2.0,1.0,1.0,43.0,38.0,98900
7292,7292,Argentina,Capital Federal,Boca,2.0,1.0,1.0,60.0,58.0,114000
7293,7293,Argentina,Capital Federal,Villa Urquiza,1.0,1.0,1.0,37.0,34.0,83000
7294,7294,Argentina,Capital Federal,Villa Urquiza,1.0,1.0,1.0,30.0,30.0,76000
7295,7295,Argentina,Capital Federal,Villa Urquiza,1.0,1.0,1.0,47.0,40.0,109900
7296,7296,Argentina,Capital Federal,Villa Urquiza,1.0,1.0,1.0,38.0,35.0,95000
7297,7297,Argentina,Capital Federal,Villa Ortuzar,1.0,1.0,1.0,47.0,40.0,120000
7298,7298,Argentina,Capital Federal,Villa Devoto,1.0,,1.0,37.0,34.0,79000
7299,7299,Argentina,Capital Federal,Villa Luro,1.0,,1.0,35.0,31.0,79900
7300,7300,Argentina,Capital Federal,Villa Luro,1.0,,1.0,35.0,31.0,74900
7301,7301,Argentina,Capital Federal,Villa Luro,1.0,,1.0,34.0,30.0,79000
7302,7302,Argentina,Capital Federal,Caballito,1.0,1.0,1.0,26.0,26.0,75000
7303,7303,Argentina,Capital Federal,Palermo,1.0,,1.0,33.0,30.0,120000
7304,7304,Argentina,Capital Federal,Palermo,1.0,,1.0,38.0,32.0,135000
7305,7305,Argentina,Capital Federal,Boca,1.0,,1.0,27.0,24.0,53000
7306,7306,Argentina,Capital Federal,Balvanera,,2.0,1.0,60.0,60.0,109000
7307,7307,Argentina,Capital Federal,Villa Urquiza,1.0,,1.0,34.0,30.0,110000
7308,7308,Argentina,Capital Federal,Villa Devoto,4.0,3.0,2.0,86.0,73.0,178800
7309,7309,Argentina,Capital Federal,Villa Urquiza,2.0,1.0,1.0,48.0,45.0,98000
7310,7310,Argentina,Capital Federal,Villa Pueyrredón,2.0,1.0,1.0,45.0,42.0,138000
7311,7311,Argentina,Capital Federal,Villa Devoto,4.0,3.0,2.0,116.0,78.0,171700
7312,7312,Argentina,Capital Federal,Villa Devoto,4.0,3.0,2.0,86.0,73.0,189300
7313,7313,Argentina,Capital Federal,Villa Devoto,4.0,3.0,2.0,86.0,73.0,173600
7314,7314,Argentina,Capital Federal,Villa Devoto,4.0,3.0,2.0,87.0,74.0,181700
7315,7315,Argentina,Capital Federal,Villa Devoto,4.0,3.0,2.0,86.0,73.0,183900
7316,7316,Argentina,Capital Federal,Caballito,4.0,3.0,2.0,135.0,79.0,149900
7317,7317,Argentina,Capital Federal,Belgrano,4.0,3.0,2.0,130.0,130.0,450000
7318,7318,Argentina,Capital Federal,Palermo,4.0,3.0,3.0,148.0,125.0,542000
7319,7319,Argentina,Capital Federal,Palermo,4.0,3.0,3.0,112.0,105.0,290000
7320,7320,Argentina,Capital Federal,Nuñez,4.0,3.0,1.0,100.0,95.0,240000
7321,7321,Argentina,Capital Federal,Flores,4.0,3.0,2.0,90.0,83.0,209000
7322,7322,Argentina,Capital Federal,Once,4.0,3.0,3.0,120.0,114.0,210000
7323,7323,Argentina,Capital Federal,Villa Urquiza,3.0,2.0,2.0,74.0,74.0,198000
7324,7324,Argentina,Capital Federal,Villa Devoto,3.0,2.0,1.0,61.0,51.0,113500
7325,7325,Argentina,Capital Federal,Villa Urquiza,2.0,1.0,1.0,48.0,40.0,177500
7326,7326,Argentina,Capital Federal,Villa Devoto,3.0,2.0,1.0,58.0,52.0,160000
7327,7327,Argentina,Capital Federal,Villa Devoto,3.0,2.0,1.0,65.0,56.0,150200
7328,7328,Argentina,Capital Federal,Villa Devoto,3.0,2.0,2.0,116.0,95.0,249000
7329,7329,Argentina,Capital Federal,Villa Devoto,3.0,2.0,1.0,61.0,51.0,109500
7330,7330,Argentina,Capital Federal,Villa Devoto,3.0,2.0,1.0,55.0,55.0,135000
7331,7331,Argentina,Capital Federal,Villa Devoto,3.0,2.0,1.0,65.0,56.0,156600
7332,7332,Argentina,Capital Federal,Villa Devoto,3.0,2.0,1.0,65.0,56.0,159900
7333,7333,Argentina,Capital Federal,Villa Crespo,3.0,2.0,1.0,50.0,50.0,123000
7334,7334,Argentina,Capital Federal,Barrio Norte,3.0,2.0,1.0,75.0,75.0,225000
7335,7335,Argentina,Capital Federal,Barrio Norte,3.0,1.0,2.0,60.0,60.0,250000
7336,7336,Argentina,Capital Federal,Recoleta,3.0,2.0,1.0,52.0,47.0,160000
7337,7337,Argentina,Capital Federal,Recoleta,3.0,2.0,1.0,,62.0,129000
7338,7338,Argentina,Capital Federal,Recoleta,3.0,2.0,1.0,74.0,74.0,129000
7339,7339,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,74.0,74.0,129000
7340,7340,Argentina,Capital Federal,Villa Pueyrredón,2.0,1.0,1.0,52.0,39.0,120000
7341,7341,Argentina,Capital Federal,Villa Devoto,3.0,2.0,1.0,83.0,56.0,147400
7342,7342,Argentina,Capital Federal,San Telmo,2.0,1.0,1.0,54.0,49.0,160621
7343,7343,Argentina,Capital Federal,Retiro,14.0,6.0,6.0,437.0,437.0,1400000
7344,7344,Argentina,Capital Federal,Colegiales,3.0,3.0,2.0,94.0,80.0,285000
7345,7345,Argentina,Capital Federal,Recoleta,3.0,2.0,1.0,62.0,62.0,198000
7346,7346,Argentina,Capital Federal,Recoleta,3.0,2.0,1.0,78.0,78.0,148000
7347,7347,Argentina,Capital Federal,Recoleta,3.0,2.0,1.0,102.0,96.0,255000
7348,7348,Argentina,Capital Federal,Recoleta,3.0,2.0,2.0,77.0,69.0,257000
7349,7349,Argentina,Capital Federal,Saavedra,3.0,2.0,1.0,57.0,53.0,225000
7350,7350,Argentina,Capital Federal,Saavedra,3.0,2.0,1.0,57.0,53.0,195000
7351,7351,Argentina,Capital Federal,Balvanera,3.0,2.0,1.0,78.0,54.0,109000
7352,7352,Argentina,Capital Federal,Caballito,3.0,2.0,1.0,57.0,57.0,98500
7353,7353,Argentina,Capital Federal,Caballito,3.0,2.0,1.0,92.0,87.0,170000
7354,7354,Argentina,Capital Federal,San Nicolás,3.0,2.0,1.0,69.0,,155000
7355,7355,Argentina,Capital Federal,San Nicolás,3.0,2.0,1.0,69.0,,175000
7356,7356,Argentina,Capital Federal,Villa Crespo,3.0,2.0,1.0,74.0,74.0,119000
7357,7357,Argentina,Capital Federal,Puerto Madero,3.0,2.0,2.0,120.0,,799000
7358,7358,Argentina,Capital Federal,Puerto Madero,3.0,2.0,2.0,121.0,115.0,750000
7359,7359,Argentina,Capital Federal,Villa Urquiza,3.0,2.0,2.0,80.0,68.0,250000
7360,7360,Argentina,Capital Federal,Villa del Parque,3.0,2.0,1.0,68.0,55.0,115000
7361,7361,Argentina,Capital Federal,Villa del Parque,3.0,2.0,2.0,,59.0,155000
7362,7362,Argentina,Capital Federal,Parque Avellaneda,3.0,2.0,1.0,59.0,59.0,82000
7363,7363,Argentina,Capital Federal,,4.0,3.0,1.0,61.0,61.0,138000
7364,7364,Argentina,Capital Federal,Recoleta,3.0,2.0,2.0,84.0,76.0,350000
7365,7365,Argentina,Capital Federal,Congreso,3.0,2.0,1.0,64.0,64.0,142000
7366,7366,Argentina,Capital Federal,Belgrano,3.0,2.0,2.0,93.0,79.0,216616
7367,7367,Argentina,Capital Federal,Belgrano,3.0,2.0,1.0,45.0,45.0,128000
7368,7368,Argentina,Capital Federal,Villa Urquiza,2.0,1.0,1.0,58.0,55.0,109800
